fase,iteracion,abeja,accuracy,fitness,n_caracteristicas
inicializacion,0,1,0.6017029328287606,0.5535547846806125,13
inicializacion,0,2,0.7530747398297067,0.6938154805704475,16
inicializacion,0,3,0.6083254493850521,0.5601773012369039,13
inicializacion,0,4,0.4966887417218543,0.4189109639440765,21
inicializacion,0,5,0.5175023651844843,0.46565051333263247,14
inicializacion,0,6,0.44938505203405865,0.41975542240442903,8
inicializacion,0,7,0.7653736991485336,0.7246329584077928,11
inicializacion,0,8,0.5146641438032167,0.48133081046988335,9
inicializacion,0,9,0.5279091769157994,0.46124251024913276,18
inicializacion,0,10,0.4087038789025544,0.37537054556922106,9
empleadas,1,1,0.5950804162724692,0.5432285644206174,14
empleadas,1,2,0.7313150425733207,0.6683520796103577,17
empleadas,1,3,0.40397350993377484,0.3595290654893304,12
empleadas,1,4,0.38978240302743616,0.3157083289533621,20
empleadas,1,5,0.7322611163670766,0.676705560811521,15
empleadas,1,6,0.45506149479659413,0.4217281614632608,9
empleadas,1,7,0.6130558183538316,0.5760187813167945,10
empleadas,1,8,0.5392620624408704,0.5022250254038334,10
empleadas,1,9,0.5250709555345316,0.46210799257156865,17
empleadas,1,10,0.4323557237464522,0.4027260941168226,8
observadoras,1,7,0.7682119205298014,0.723767476085357,12
observadoras,1,3,0.6045411542100284,0.5526893023581766,14
observadoras,1,2,0.738883632923368,0.675920669960405,17
observadoras,1,2,0.7701040681173131,0.7071411051543501,17
observadoras,1,1,0.4323557237464522,0.38791127930200775,12
observadoras,1,5,0.5175023651844843,0.46565051333263247,14
observadoras,1,7,0.7634815515610217,0.7264445145239846,10
observadoras,1,7,0.7634815515610217,0.7301482182276884,9
observadoras,1,9,0.4900662251655629,0.42339955849889627,18
observadoras,1,1,0.5950804162724692,0.5506359718280247,12
empleadas,2,1,0.6102175969725638,0.558365745120712,14
empleadas,2,2,0.7795648060548723,0.7128981393882057,18
empleadas,2,3,0.6045411542100284,0.560096709765584,12
empleadas,2,4,0.49195837275307475,0.4178842986790007,20
empleadas,2,5,0.7483443708609272,0.689085111601668,16
empleadas,2,6,0.4314096499526963,0.3943726129156593,10
empleadas,2,7,0.7587511825922422,0.7180104418515014,11
empleadas,2,8,0.5203405865657521,0.47959984582501136,11
empleadas,2,9,0.5345316934720908,0.4752724342128316,16
empleadas,2,10,0.3935666982024598,0.3602333648691265,9
observadoras,2,3,0.6177861873226111,0.5733417428781666,12
observadoras,2,2,0.7890255439924314,0.718655173622061,19
observadoras,2,2,0.7956480605487228,0.7215739864746488,20
observadoras,2,8,0.5250709555345316,0.4843302147937909,11
observadoras,2,5,0.7473982970671712,0.6918427415116156,15
observadoras,2,5,0.771996215704825,0.7127369564455658,16
observadoras,2,1,0.5894039735099338,0.5412558253617856,13
observadoras,2,1,0.7350993377483444,0.6795437821927888,15
observadoras,2,5,0.7473982970671712,0.6918427415116156,15
observadoras,2,3,0.7417218543046358,0.6935737061564876,13
empleadas,3,1,0.7407757805108799,0.6889239286590281,14
empleadas,3,2,0.7559129612109745,0.6855425908406041,19
empleadas,3,3,0.7417218543046358,0.689870002452784,14
empleadas,3,4,0.5042573320719016,0.43018325799782753,20
empleadas,3,5,0.7786187322611163,0.7156557692981533,17
empleadas,3,6,0.42762535477767266,0.3905883177406356,10
empleadas,3,7,0.7615894039735099,0.7245523669364728,10
empleadas,3,8,0.5203405865657521,0.47959984582501136,11
empleadas,3,9,0.5042573320719016,0.448701776516346,15
empleadas,3,10,0.4796594134342479,0.44632608010091457,9
observadoras,3,3,0.5241248817407758,0.4759767335926276,13
observadoras,3,1,0.7559129612109745,0.7003574056554189,15
observadoras,3,1,0.7436140018921475,0.6917621500402957,14
observadoras,3,2,0.7861873226111636,0.7158169522407932,19
observadoras,3,1,0.7511825922421949,0.6919233329829356,16
observadoras,3,2,0.7890255439924314,0.718655173622061,19
observadoras,3,1,0.7398297067171239,0.6805704474578647,16
observadoras,3,5,0.7549668874172185,0.6957076281579593,16
observadoras,3,2,0.7947019867549668,0.7243316163845964,19
observadoras,3,3,0.7455061494796594,0.6973580013315113,13
empleadas,4,1,0.7341532639545885,0.6823014121027366,14
empleadas,4,2,0.8013245033112583,0.7272504292371842,20
empleadas,4,3,0.7426679280983917,0.6982234836539472,12
empleadas,4,4,0.49290444654683063,0.42253407617646027,19
empleadas,4,5,0.7918637653736992,0.7251970987070325,18
empleadas,4,6,0.43424787133396403,0.397210834296927,10
empleadas,4,7,0.7701040681173131,0.733067031080276,10
empleadas,4,8,0.5165562913907285,0.472111846946284,12
empleadas,4,9,0.7786187322611163,0.7156557692981533,17
empleadas,4,10,0.5137180700094608,0.47668103297242376,10
observadoras,4,1,0.7360454115421002,0.6841935596902484,14
observadoras,4,5,0.7738883632923368,0.7146291040330776,16
observadoras,4,7,0.7701040681173131,0.7293633273765724,11
observadoras,4,7,0.7663197729422895,0.7255790322015487,11
observadoras,4,2,0.7984862819299905,0.7281159115596201,19
observadoras,4,9,0.783349101229896,0.7240898419706367,16
observadoras,4,5,0.7767265846736046,0.7137636217106416,17
observadoras,4,9,0.7407757805108799,0.6852202249553243,15
observadoras,4,9,0.7814569536423841,0.7184939906794211,17
observadoras,4,7,0.7578051087984863,0.7170643680577455,11
exploradoras,4,1,0.8249763481551561,0.7731244963033043,14
empleadas,5,1,0.5279091769157994,0.47976102876765125,13
empleadas,5,2,0.7644276253547777,0.697760958688111,18
empleadas,5,3,0.7294228949858089,0.6886821542450682,11
empleadas,5,4,0.4985808893093661,0.42821051893899575,19
empleadas,5,5,0.7767265846736046,0.7137636217106416,17
empleadas,5,6,0.5241248817407758,0.4870878447037387,10
empleadas,5,7,0.7663197729422895,0.7255790322015487,11
empleadas,5,8,0.7748344370860927,0.7340936963453519,11
empleadas,5,9,0.7417218543046358,0.6861662987490802,15
empleadas,5,10,0.5052034058656575,0.47187007253232416,9
observadoras,5,7,0.7663197729422895,0.7255790322015487,11
observadoras,5,3,0.7369914853358562,0.6888433371877081,13
observadoras,5,8,0.7767265846736046,0.7322821402291602,12
observadoras,5,1,0.7729422894985809,0.7247941413504327,13
observadoras,5,3,0.7360454115421002,0.6878972633939521,13
observadoras,5,8,0.793755912961211,0.7493114685167666,12
observadoras,5,5,0.7918637653736992,0.7214933950033288,19
observadoras,5,9,0.7814569536423841,0.7184939906794211,17
observadoras,5,2,0.8003784295175024,0.7337117628508357,18
observadoras,5,8,0.7738883632923368,0.733147622551596,11
exploradoras,5,7,0.7644276253547777,0.7088720697992221,15
empleadas,6,1,0.8088930936613056,0.75333753810575,15
empleadas,6,2,0.7947019867549668,0.7317390237920038,17
empleadas,6,3,0.7483443708609272,0.700196222712779,13
empleadas,6,4,0.5023651844843898,0.4356985178177232,18
empleadas,6,5,0.7928098391674551,0.7298468762044921,17
empleadas,6,6,0.49479659413434246,0.46146326080100913,9
empleadas,6,7,0.7426679280983917,0.6834086688391324,16
empleadas,6,8,0.5250709555345316,0.4843302147937909,11
empleadas,6,9,0.7871333964049196,0.7241704334419566,17
empleadas,6,10,0.5089877010406811,0.4719506640036441,10
observadoras,6,9,0.7842951750236519,0.7250359157643926,16
observadoras,6,7,0.7492904446546831,0.6974385928028313,14
observadoras,6,3,0.7360454115421002,0.6841935596902484,14
observadoras,6,9,0.5203405865657521,0.4647850310101965,15
observadoras,6,3,0.7559129612109745,0.7040611093591227,14
observadoras,6,8,0.7738883632923368,0.7257402151441886,13
observadoras,6,9,0.7786187322611163,0.7230631767055608,15
observadoras,6,8,0.7738883632923368,0.7257402151441886,13
observadoras,6,8,0.7805108798486282,0.7397701391078875,11
observadoras,6,6,0.4446546830652791,0.4076176460282421,10
exploradoras,6,8,0.6490066225165563,0.6193769928869266,8
empleadas,7,1,0.7729422894985809,0.7247941413504327,13
empleadas,7,2,0.804162724692526,0.7337923543221556,19
empleadas,7,3,0.7426679280983917,0.6945197799502435,13
empleadas,7,4,0.5137180700094608,0.4507551070464978,17
empleadas,7,5,0.7852412488174078,0.7259819895581485,16
empleadas,7,6,0.5070955534531694,0.4663548127124286,11
empleadas,7,7,0.7464522232734153,0.6946003714215635,14
empleadas,7,8,0.6641438032166509,0.6308104698833176,9
empleadas,7,9,0.7842951750236519,0.7213322120606889,17
empleadas,7,10,0.49479659413434246,0.4540558533936017,11
observadoras,7,5,0.783349101229896,0.7240898419706367,16
observadoras,7,5,0.7852412488174078,0.7259819895581485,16
observadoras,7,7,0.7360454115421002,0.6841935596902484,14
observadoras,7,1,0.7729422894985809,0.7247941413504327,13
observadoras,7,2,0.8003784295175024,0.7337117628508357,18
observadoras,7,5,0.7814569536423841,0.7147902869757174,18
observadoras,7,5,0.7776726584673604,0.7184133992081012,16
observadoras,7,7,0.7663197729422895,0.7070605136830302,16
observadoras,7,5,0.7880794701986755,0.7214128035320089,18
observadoras,7,8,0.6792809839167455,0.6496513542871158,8
exploradoras,7,1,0.5118259224219489,0.46367777427380075,13
exploradoras,7,5,0.42762535477767266,0.37206979922211714,15
exploradoras,7,7,0.4228949858088931,0.3895616524755598,9
empleadas,8,1,0.5080416272469253,0.4635971828024808,12
empleadas,8,2,0.7445600756859035,0.6778934090192369,18
empleadas,8,3,0.7379375591296121,0.689789410981464,13
empleadas,8,4,0.5193945127719962,0.460135253512737,16
empleadas,8,5,0.4247871333964049,0.3655278741371456,16
empleadas,8,6,0.5260170293282876,0.4852762885875469,11
empleadas,8,7,0.4314096499526963,0.4017800203230667,8
empleadas,8,8,0.6603595080416272,0.6270261747082939,9
empleadas,8,9,0.7918637653736992,0.7289008024107362,17
empleadas,8,10,0.489120151371807,0.44837941063106623,11
observadoras,8,3,0.7256385998107853,0.6700830442552297,15
observadoras,8,9,0.7473982970671712,0.688139037807912,16
observadoras,8,1,0.5288552507095553,0.47700339885770343,14
observadoras,8,2,0.793755912961211,0.7270892462945443,18
observadoras,8,9,0.7956480605487228,0.7363888012894636,16
observadoras,8,2,0.8117313150425733,0.7376572409684993,20
observadoras,8,6,0.5269631031220435,0.4862223623813028,11
observadoras,8,2,0.771996215704825,0.7016258453344546,19
observadoras,8,6,0.5146641438032167,0.47392340306247593,11
observadoras,8,3,0.7426679280983917,0.6871123725428361,15
exploradoras,8,6,0.521286660359508,0.47684221591506354,12
empleadas,9,1,0.5118259224219489,0.46367777427380075,13
empleadas,9,2,0.7880794701986755,0.7177090998283051,19
empleadas,9,3,0.7256385998107853,0.6700830442552297,15
empleadas,9,4,0.4853358561967833,0.42978030064122774,15
empleadas,9,5,0.5089877010406811,0.4497284417814219,16
empleadas,9,6,0.5288552507095553,0.48811450996881456,11
empleadas,9,7,0.4304635761589404,0.40453765023301447,7
empleadas,9,8,0.6546830652790918,0.6213497319457585,9
empleadas,9,9,0.7994323557237465,0.7438768001681909,15
empleadas,9,10,0.489120151371807,0.44837941063106623,11
observadoras,9,3,0.7426679280983917,0.6945197799502435,13
observadoras,9,3,0.7284768211920529,0.6729212656364973,15
observadoras,9,9,0.7899716177861873,0.7307123585269281,16
observadoras,9,3,0.7256385998107853,0.6700830442552297,15
observadoras,9,2,0.8505203405865658,0.7727425628087881,21
