iteracion,fase,abeja,evento
1,empleadas,1,sin_mejora
1,empleadas,2,sin_mejora
1,empleadas,3,sin_mejora
1,empleadas,4,sin_mejora
1,empleadas,5,mejora
1,empleadas,6,mejora
1,empleadas,7,sin_mejora
1,empleadas,8,mejora
1,empleadas,9,mejora
1,empleadas,10,mejora
1,observadoras,7,sin_mejora
1,observadoras,3,sin_mejora
1,observadoras,2,sin_mejora
1,observadoras,2,mejora
1,observadoras,1,sin_mejora
1,observadoras,5,sin_mejora
1,observadoras,7,mejora
1,observadoras,7,mejora
1,observadoras,9,sin_mejora
1,observadoras,1,sin_mejora
2,empleadas,1,mejora
2,empleadas,2,mejora
2,empleadas,3,sin_mejora
2,empleadas,4,sin_mejora
2,empleadas,5,mejora
2,empleadas,6,sin_mejora
2,empleadas,7,sin_mejora
2,empleadas,8,sin_mejora
2,empleadas,9,mejora
2,empleadas,10,sin_mejora
2,observadoras,3,mejora
2,observadoras,2,mejora
2,observadoras,2,mejora
2,observadoras,8,sin_mejora
2,observadoras,5,mejora
2,observadoras,5,mejora
2,observadoras,1,sin_mejora
2,observadoras,1,mejora
2,observadoras,5,sin_mejora
2,observadoras,3,mejora
3,empleadas,1,mejora
3,empleadas,2,sin_mejora
3,empleadas,3,sin_mejora
3,empleadas,4,mejora
3,empleadas,5,mejora
3,empleadas,6,sin_mejora
3,empleadas,7,sin_mejora
3,empleadas,8,sin_mejora
3,empleadas,9,sin_mejora
3,empleadas,10,mejora
3,observadoras,3,sin_mejora
3,observadoras,1,mejora
3,observadoras,1,sin_mejora
3,observadoras,2,sin_mejora
3,observadoras,1,sin_mejora
3,observadoras,2,sin_mejora
3,observadoras,1,sin_mejora
3,observadoras,5,sin_mejora
3,observadoras,2,mejora
3,observadoras,3,mejora
4,empleadas,1,sin_mejora
4,empleadas,2,mejora
4,empleadas,3,mejora
4,empleadas,4,sin_mejora
4,empleadas,5,mejora
4,empleadas,6,sin_mejora
4,empleadas,7,mejora
4,empleadas,8,sin_mejora
4,empleadas,9,mejora
4,empleadas,10,mejora
4,observadoras,1,sin_mejora
4,observadoras,5,sin_mejora
4,observadoras,7,sin_mejora
4,observadoras,7,sin_mejora
4,observadoras,2,mejora
4,observadoras,9,mejora
4,observadoras,5,sin_mejora
4,observadoras,9,sin_mejora
4,observadoras,9,sin_mejora
4,observadoras,7,sin_mejora
4,exploradoras,1,reinicio_scout
5,empleadas,1,sin_mejora
5,empleadas,2,sin_mejora
5,empleadas,3,sin_mejora
5,empleadas,4,sin_mejora
