iteracion,fitness,accuracy,n_caracteristicas
0,0.7246329584077928,0.7653736991485336,11
1,0.7301482182276884,0.7634815515610217,9
2,0.7301482182276884,0.7634815515610217,9
3,0.7301482182276884,0.7634815515610217,9
4,0.7731244963033043,0.8249763481551561,14
5,0.7731244963033043,0.8249763481551561,14
6,0.7731244963033043,0.8249763481551561,14
7,0.7731244963033043,0.8249763481551561,14
8,0.7731244963033043,0.8249763481551561,14
9,0.7736080451312239,0.847682119205298,20
10,0.7736080451312239,0.847682119205298,20
11,0.7736080451312239,0.847682119205298,20
12,0.7736080451312239,0.847682119205298,20
13,0.7929920459721784,0.8448438978240302,14
14,0.7929920459721784,0.8448438978240302,14
15,0.7929920459721784,0.8448438978240302,14
16,0.7929920459721784,0.8448438978240302,14
17,0.7929920459721784,0.8448438978240302,14
18,0.7929920459721784,0.8448438978240302,14
19,0.7929920459721784,0.8448438978240302,14
20,0.7929920459721784,0.8448438978240302,14
