iteracion,hormiga,sse,silueta
1,1,1489.0167550393253,0.19494139358064896
1,2,1479.6277772834503,0.1816604320695674
1,3,1598.1072136485848,0.13279435342467202
1,4,1519.689606826456,0.18374103976870051
1,5,1439.018190400071,0.2066469137572801
1,6,1451.8251943530022,0.20681344475057362
1,7,1520.929647403245,0.16613708252520848
1,8,1369.141004654839,0.23734239870600687
1,9,1515.6999870039008,0.17307709763271936
1,10,1526.6779210722254,0.1558419870896861
1,11,1622.9408656787207,0.10576421869782333
1,12,1542.7338944821986,0.153853269193708
1,13,1567.0403825279438,0.14438820963998733
1,14,1596.8591079104963,0.16863959849575633
1,15,1438.7716172336086,0.2037929982999006
2,1,1303.6750702088589,0.27246215994239
2,2,1305.7463538724883,0.26805202985962895
2,3,1287.28018973809,0.2786062929346088
2,4,1307.7994484902556,0.26884300638868036
2,5,1300.2677099276589,0.27577166870087505
2,6,1294.010437602089,0.2764297526767441
2,7,1299.7714150762458,0.27501867564000854
2,8,1306.8875147407482,0.26744465184971594
2,9,1290.57777818917,0.2782403472085725
2,10,1299.2359436102065,0.2737860894057841
2,11,1301.6622687311453,0.2763564371881271
2,12,1291.1314600502328,0.27892169692254404
2,13,1302.647085274571,0.2691640800600465
2,14,1302.6903274378037,0.27323899117621847
2,15,1309.0927880241502,0.26473621078696996
3,1,1284.6740739385716,0.2802762199395535
3,2,1280.8655711062472,0.28433260984425796
3,3,1286.6641207953235,0.28133350029620374
3,4,1283.7921672729865,0.2802553218784086
3,5,1283.5968876500715,0.28356490946243834
3,6,1281.3621759246996,0.28308311112545514
3,7,1282.4620474949074,0.28262570377424756
3,8,1289.1307459390569,0.28060183104883585
3,9,1285.5428186812915,0.283662355410586
3,10,1280.2024812647958,0.2847062625590547
3,11,1286.4158868117884,0.2815153049768555
3,12,1293.0485214282112,0.27735172549736825
3,13,1283.4108804139353,0.2824298006447642
3,14,1281.65878979956,0.281045450685562
3,15,1289.599265715925,0.2781525169222768
4,1,1277.9284888446423,0.2848589191898987
4,2,1281.7644492386912,0.2818342192663889
4,3,1281.5274456302518,0.2845321009606295
4,4,1280.8333271516365,0.2825968819027029
4,5,1282.5321517516802,0.283682288905024
4,6,1279.9170552932223,0.28599506985016965
4,7,1282.5321517516802,0.283682288905024
4,8,1283.7921672729865,0.2802553218784086
4,9,1280.8580152694917,0.28276568769974764
4,10,1282.5321517516802,0.283682288905024
4,11,1281.320962657861,0.28523788417426066
4,12,1279.731123104636,0.2828367184667964
4,13,1282.5321517516802,0.283682288905024
4,14,1280.2024812647958,0.2847062625590547
4,15,1280.2024812647958,0.2847062625590547
5,1,1278.7607763668143,0.28594199657074876
5,2,1282.8685819260972,0.28360894244550544
5,3,1279.731123104636,0.2828367184667964
5,4,1280.2024812647958,0.2847062625590547
5,5,1280.8580152694917,0.28276568769974764
5,6,1281.53174872399,0.2813861984665782
5,7,1279.731123104636,0.2828367184667964
5,8,1281.5759961269935,0.28269766527935414
5,9,1281.0652141454943,0.2828632453976601
5,10,1279.731123104636,0.2828367184667964
5,11,1277.9284888446423,0.2848589191898987
5,12,1279.9661527749454,0.2844212860533542
5,13,1280.2024812647958,0.2847062625590547
5,14,1277.9284888446423,0.2848589191898987
5,15,1283.5968876500715,0.28356490946243834
6,1,1279.731123104636,0.2828367184667964
6,2,1279.9661527749454,0.2844212860533542
6,3,1281.5274456302518,0.2845321009606295
6,4,1279.731123104636,0.2828367184667964
6,5,1281.1005273125484,0.28359125687714787
6,6,1282.5321517516802,0.283682288905024
6,7,1280.2024812647958,0.2847062625590547
6,8,1280.2024812647958,0.2847062625590547
6,9,1278.996071899131,0.2840401034630662
6,10,1280.2024812647958,0.2847062625590547
6,11,1281.9344813969242,0.28544516488033644
6,12,1277.9284888446423,0.2848589191898987
6,13,1278.7607763668143,0.28594199657074876
6,14,1279.8311562700342,0.2830869570203288
6,15,1279.5053901781484,0.2813923690372341
7,1,1279.3453498772399,0.2845825170158851
7,2,1278.996071899131,0.2840401034630662
7,3,1277.9284888446423,0.2848589191898987
7,4,1277.9284888446423,0.2848589191898987
7,5,1279.731123104636,0.2828367184667964
7,6,1280.7626381532184,0.2860022778728978
7,7,1277.9284888446423,0.2848589191898987
7,8,1279.879772378435,0.2846566560907354
7,9,1279.3453498772399,0.2845825170158851
7,10,1277.9284888446423,0.2848589191898987
7,11,1278.7607763668143,0.28594199657074876
7,12,1279.731123104636,0.2828367184667964
7,13,1279.731123104636,0.2828367184667964
7,14,1277.9284888446423,0.2848589191898987
7,15,1279.3453498772399,0.2845825170158851
8,1,1280.7626381532184,0.2860022778728978
8,2,1280.2024812647958,0.2847062625590547
8,3,1280.7626381532184,0.2860022778728978
8,4,1280.640725254665,0.2831867552953967
8,5,1279.1581672872376,0.28484180782866697
8,6,1279.1581672872376,0.28484180782866697
8,7,1279.1581672872376,0.28484180782866697
8,8,1278.7607763668143,0.28594199657074876
8,9,1277.9284888446423,0.2848589191898987
8,10,1277.9284888446423,0.2848589191898987
8,11,1277.9284888446423,0.2848589191898987
8,12,1280.7626381532184,0.2860022778728978
8,13,1277.9284888446423,0.2848589191898987
8,14,1280.2024812647958,0.2847062625590547
8,15,1279.4125824662601,0.28326405043689146
9,1,1277.9284888446423,0.2848589191898987
9,2,1277.9284888446423,0.2848589191898987
9,3,1277.9284888446423,0.2848589191898987
9,4,1277.9284888446423,0.2848589191898987
9,5,1278.996071899131,0.2840401034630662
9,6,1280.7626381532184,0.2860022778728978
9,7,1279.1581672872376,0.28484180782866697
9,8,1279.4125824662601,0.28326405043689146
9,9,1277.9284888446423,0.2848589191898987
9,10,1277.9284888446423,0.2848589191898987
9,11,1277.9284888446423,0.2848589191898987
9,12,1277.9284888446423,0.2848589191898987
9,13,1279.1581672872376,0.28484180782866697
9,14,1277.9284888446423,0.2848589191898987
9,15,1277.9284888446423,0.2848589191898987
10,1,1279.1581672872376,0.28484180782866697
10,2,1277.9284888446423,0.2848589191898987
10,3,1277.9284888446423,0.2848589191898987
10,4,1280.2024812647958,0.2847062625590547
10,5,1279.4343760790935,0.2841303765253225
10,6,1277.9284888446423,0.2848589191898987
10,7,1277.9284888446423,0.2848589191898987
10,8,1279.4125824662601,0.28326405043689146
10,9,1277.9284888446423,0.2848589191898987
10,10,1277.9284888446423,0.2848589191898987
10,11,1279.8039457804532,0.2833167718326825
10,12,1278.7607763668143,0.28594199657074876
10,13,1277.9284888446423,0.2848589191898987
