iteracion,particula,cv_accuracy,hidden_layer_sizes,activation,solver,learning_rate_init,alpha
0,1,0.9765258215962441,"(58, 47)",tanh,adam,0.00029380279387035353,1.7073967431528134e-05
0,2,0.971830985915493,"(109, 12)",tanh,adam,0.000817949947521167,0.0005342937261279772
0,3,0.9694835680751174,"(67, 13)",relu,sgd,0.005987474910461398,0.002692646910086177
0,4,0.9624413145539906,"(50, 44)",relu,adam,0.00023233503515390097,1.3726318898045864e-05
0,5,0.9647887323943661,"(77, 62)",relu,adam,0.0658410616012161,0.0024637685958997448
0,6,0.9553990610328639,"(60, 53)",relu,sgd,0.0006963114377829289,3.6618192203924286e-05
0,7,0.9694835680751174,"(17, 45)",logistic,adam,0.02059733535743719,0.0002715581955282939
0,8,0.971830985915493,"(51, 47)",logistic,sgd,0.04588156549160971,3.0086868214458433e-05
0,9,0.6314553990610329,"(75, 2)",logistic,adam,0.00012424747083660196,0.0001808939009276713
0,10,0.9765258215962441,"(42, 19)",logistic,sgd,0.061530856016253146,0.0034167643418329665
1,1,0.9765258215962441,"(66, 48)",tanh,adam,0.00020344048323908787,2.8765731617310778e-05
1,2,0.9741784037558686,"(81, 28)",tanh,adam,0.00014545435501193087,8.33436244784876e-05
1,3,0.955399061032864,"(57, 28)",relu,sgd,0.0016801436853880855,0.0002692646910086177
1,4,0.971830985915493,"(52, 46)",tanh,adam,0.0002401289042264264,3.4142354537036156e-05
1,5,0.9765258215962441,"(49, 60)",tanh,adam,0.011708380418054692,0.0002463768595899745
1,6,0.9553990610328639,"(53, 45)",relu,sgd,0.00032014077705195567,4.040198623618617e-05
1,7,0.971830985915493,"(45, 50)",logistic,adam,0.0036627817367797253,0.00010333325079527701
1,8,0.9741784037558686,"(55, 48)",tanh,sgd,0.00815902432140819,3.243252820581038e-05
1,9,0.9765258215962441,"(70, 18)",tanh,adam,0.00021677322919496313,6.494207145321389e-05
1,10,0.971830985915493,"(40, 35)",tanh,sgd,0.010941905433577256,0.004599399788264309
2,1,0.9694835680751174,"(52, 45)",tanh,adam,0.0005357586852095809,1.346635770060013e-05
2,2,0.960093896713615,"(53, 43)",tanh,adam,0.0001,1e-05
2,3,0.971830985915493,"(67, 44)",tanh,adam,0.00029877649216325465,2.6926469100861772e-05
2,4,0.9577464788732395,"(58, 48)",logistic,adam,0.00030362612624496694,6.446262719566958e-05
2,5,0.9765258215962441,"(31, 46)",tanh,adam,0.0020820771822329573,2.463768595899742e-05
2,6,0.9694835680751174,"(54, 48)",tanh,sgd,0.00033759881213198193,2.552305393284281e-05
2,7,0.9741784037558686,"(69, 52)",tanh,adam,0.0006513449345981991,1.0333325079527701e-05
2,8,0.9694835680751174,"(60, 47)",tanh,adam,0.00206175707627612,2.9999028989144925e-05
2,9,0.9741784037558686,"(64, 34)",tanh,adam,0.0004085161918290636,1e-05
2,10,0.9694835680751174,"(42, 43)",logistic,adam,0.012115921610537077,0.00045993997882643096
3,1,0.9741784037558686,"(56, 48)",tanh,adam,0.0005303765748901488,1.0139819018213723e-05
3,2,0.971830985915493,"(45, 37)",tanh,adam,0.0001586077696447337,0.0001
3,3,0.7089201877934274,"(58, 58)",logistic,adam,0.0001,1e-05
3,4,0.8779342723004695,"(53, 46)",logistic,adam,0.0002568959789436213,1e-05
3,5,0.971830985915493,"(59, 39)",tanh,adam,0.0005764014372254591,0.00019386107383030134
3,6,0.971830985915493,"(57, 48)",tanh,adam,0.00032128268190360356,1.6847006424850984e-05
3,7,0.971830985915493,"(73, 53)",tanh,adam,0.00016634567245817138,1e-05
3,8,0.9765258215962441,"(53, 48)",tanh,adam,0.0019871607823034668,1.256961594605671e-05
3,9,0.9741784037558686,"(51, 46)",tanh,adam,0.00034161451861063156,4.804791480958552e-05
3,10,0.9765258215962441,"(58, 27)",tanh,sgd,0.008243274843365941,0.00010892819205703232
4,1,0.9741784037558686,"(61, 48)",tanh,adam,0.00011825123930295968,3.458429014637678e-05
4,2,0.9647887323943661,"(73, 47)",tanh,adam,0.00044084976410316805,7.984148302349378e-05
4,3,0.9671361502347419,"(63, 55)",tanh,adam,0.0005623413251903491,0.0001
4,4,0.9788732394366196,"(58, 46)",tanh,adam,0.0002484930330818508,4.864794606274506e-05
4,5,0.9694835680751174,"(76, 55)",relu,adam,0.0032413434805098652,0.0006739996490156559
4,6,0.9788732394366196,"(60, 46)",tanh,adam,0.00024404898620652312,5.5165978429518515e-05
4,7,0.9694835680751174,"(51, 45)",tanh,adam,0.0009253988918480261,2.4493209857542657e-05
4,8,0.971830985915493,"(53, 45)",tanh,adam,0.00043919146414284966,3.129818625630208e-05
4,9,0.9507042253521126,"(53, 30)",tanh,adam,0.00014031967249379703,0.00016498981952062886
4,10,0.9694835680751174,"(64, 30)",tanh,sgd,0.0014658845925249481,0.0010892819205703232
5,1,0.9741784037558686,"(62, 46)",tanh,adam,0.00011388387444978748,0.00010698401948237079
5,2,0.9788732394366196,"(79, 49)",tanh,adam,0.00012599186975737544,6.121685695000213e-05
5,3,0.9671361502347419,"(64, 39)",tanh,adam,0.0004950638896259346,3.983565082755301e-05
5,4,0.9788732394366196,"(60, 46)",tanh,adam,0.00024304432827292117,0.00013967140916193503
5,5,0.9741784037558686,"(48, 64)",tanh,adam,0.003374768499347185,0.00010490734056932139
5,6,0.9694835680751174,"(61, 44)",tanh,adam,0.00020440995009561212,0.00011404626409543157
5,7,0.9741784037558686,"(51, 48)",tanh,adam,0.0003241393296825278,1.3304405702890159e-05
5,8,0.9765258215962441,"(56, 47)",tanh,adam,0.00045095626853993413,4.401093239554914e-05
5,9,0.6854460093896714,"(66, 14)",logistic,adam,0.0001,1.9003449806781182e-05
5,10,0.8169014084507044,"(54, 45)",logistic,sgd,0.005427590916349747,0.00010892819205703232
6,1,0.9741784037558686,"(55, 45)",tanh,adam,0.00016529004009975366,1.5107341392723013e-05
6,2,0.9624413145539906,"(66, 48)",tanh,adam,0.0001,4.559310052524782e-05
6,3,0.9741784037558686,"(64, 48)",tanh,adam,0.0001477312616240739,1.6996106549388244e-05
6,4,0.9788732394366196,"(58, 46)",tanh,adam,0.00024865486739487035,2.0807182677343022e-05
6,5,0.9765258215962441,"(45, 49)",tanh,adam,0.0015119387086896076,4.313645724800709e-05
6,6,0.9741784037558686,"(57, 46)",tanh,adam,0.00023262519718735862,2.702463116761303e-05
6,7,0.835680751173709,"(76, 51)",logistic,adam,0.00012080904995916653,1e-05
6,8,0.9741784037558686,"(59, 48)",tanh,adam,0.002535913456536415,1e-05
6,9,0.9741784037558686,"(74, 29)",tanh,adam,0.00029654716106990414,4.742917953590429e-05
6,10,0.9671361502347419,"(34, 34)",tanh,adam,0.0009651773172659044,0.00024406103471897559
7,1,0.971830985915493,"(51, 48)",tanh,adam,0.0003610687560371151,1.9678930511935432e-05
7,2,0.9741784037558686,"(54, 49)",tanh,adam,0.00041717061500435296,4.4393071699479273e-05
7,3,0.7183098591549296,"(60, 52)",logistic,adam,0.00012857372428045337,2.1851374373494907e-05
7,4,0.9671361502347416,"(56, 46)",tanh,adam,0.0002519156206351074,1.193898766835538e-05
7,5,0.971830985915493,"(59, 43)",tanh,adam,0.00510006447148141,0.00043136457248007094
7,6,0.9741784037558686,"(57, 47)",tanh,adam,0.0002638030580470314,3.531513206278345e-05
7,7,0.9671361502347419,"(59, 52)",tanh,adam,0.0006793592124902479,4.6928830145721453e-05
7,8,0.971830985915493,"(56, 46)",tanh,adam,0.00045095626853993413,9.415704690413956e-05
7,9,0.9741784037558686,"(59, 44)",tanh,adam,0.0005061420201791506,0.00011521729255352218
7,10,0.9765258215962441,"(51, 19)",tanh,sgd,0.005427590916349747,0.002440610347189756
8,1,0.9765258215962441,"(58, 47)",tanh,adam,0.0003561933825831092,4.5181296720390744e-05
8,2,0.9694835680751174,"(82, 46)",tanh,adam,0.0006602019735474765,5.775079442323845e-05
8,3,0.9671361502347416,"(59, 43)",tanh,adam,0.0001943964184572537,4.868187958827804e-05
8,4,0.9788732394366196,"(60, 46)",tanh,adam,0.00024310173650600122,0.0001193898766835538
8,5,0.9765258215962441,"(61, 59)",tanh,adam,0.005426737172089985,6.609271268248717e-05
8,6,0.9248826291079811,"(62, 45)",logistic,adam,0.00024108281812225562,0.00014530112125481134
8,7,0.9765258215962441,"(53, 49)",tanh,adam,0.0007005044866009038,1.836151442867811e-05
8,8,0.955399061032864,"(53, 47)",tanh,adam,0.00011136095028627808,0.00012428597794441134
8,9,0.8896713615023475,"(64, 35)",logistic,adam,0.000194113968410285,3.230582620152078e-05
8,10,0.9812206572769954,"(66, 31)",tanh,adam,0.006464207678726832,0.00024406103471897559
9,1,0.971830985915493,"(71, 42)",logistic,adam,0.0020030225878581863,3.117484939271256e-05
